p,p_index,dataset_index,initialization,A,B,C,alpha,beta,g12,g13,g23,D,empirical_loss,empirical_optimum,optimization_error,gradient_norm,is_best
0.0,0,12,0,0.0,0.9764180012390975,1.0240543768685977,1.5707963267449843,1.5707963267944902,1.0,2.491243456205225e-21,1.6516328409010302e-25,1.0,2.4326640922918576e-21,0.0,2.4326640922918576e-21,9.747064918357832e-11,0
0.0,0,12,1,0.0,0.9764180012390975,1.0240543768685977,1.570796326797577,1.570796326839263,1.0,7.184872450109293e-24,1.968381817555513e-21,1.0,2.022745454413182e-21,0.0,2.022745454413182e-21,9.086731304660147e-11,1
0.0,0,12,2,0.0,0.9764180012390975,1.0240543768685977,1.570796326800809,1.570796326750618,1.0,3.495553325719495e-23,1.960598140397714e-21,1.0,2.0418903188699497e-21,0.0,2.0418903188699497e-21,9.068747435395387e-11,0
0.0,0,12,3,0.0,0.9764180012390975,1.0240543768685977,1.5707963267950227,1.5707963268426939,1.0,1.589114963328158e-26,2.2845781040226875e-21,1.0,2.339547723127158e-21,0.0,2.339547723127158e-21,9.789398747868681e-11,0
0.0,0,12,4,0.0,0.9764180012390975,1.0240543768685977,1.5707963268423557,1.5707963267953473,1.0,2.252364890514796e-21,2.0312085924814673e-25,1.0,2.1994576312625223e-21,0.0,2.1994576312625223e-21,9.267981274341683e-11,0
0.0,0,12,5,0.0,0.9764180012390975,1.0240543768685977,1.5707963268428042,1.5707963267787695,1.0,2.2951397275711086e-21,2.600853183088878e-22,1.0,2.5073572539329075e-21,0.0,2.5073572539329075e-21,9.35557184746972e-11,0
0.0,0,12,6,0.0,0.9764180012390975,1.0240543768685977,1.5707963267469474,1.5707963267979006,1.0,2.2991316686397137e-21,9.023897208357218e-24,1.0,2.2541545099113308e-21,0.0,2.2541545099113308e-21,9.363704395078141e-11,0
0.0,0,12,7,0.0,0.9764180012390975,1.0240543768685977,1.570796326845225,1.5707963268314453,1.0,2.5329424992068315e-21,1.3358076751145983e-21,1.0,3.841150348684869e-21,0.0,3.841150348684869e-21,9.828300772341928e-11,0
0.0,0,13,0,0.0,0.9916610387227056,1.0066046826870723,1.5707963268131762,1.5707963268442107,1.0,3.3414153960014794e-22,2.4318752433600076e-21,1.0,2.7792921539172337e-21,0.0,2.7792921539172337e-21,9.927950150661706e-11,0
0.0,0,13,1,0.0,0.9916610387227056,1.0066046826870723,1.5707963268451552,1.5707963267696499,1.0,2.5259293737647058e-21,6.373986308054611e-22,1.0,3.146474193034807e-21,0.0,3.146474193034807e-21,9.967904028556025e-11,0
0.0,0,13,2,0.0,0.9916610387227056,1.0066046826870723,1.570796326770869,1.5707963268417455,1.0,5.773318077939234e-22,2.194820172939413e-21,1.0,2.7818337239414425e-21,0.0,2.7818337239414425e-21,9.431666017441951e-11,0
0.0,0,13,3,0.0,0.9916610387227056,1.0066046826870723,1.570796326781202,1.5707963267490292,1.0,1.8754377389757076e-22,2.103815739192665e-21,1.0,2.3036906282113424e-21,0.0,2.3036906282113424e-21,9.234062122968872e-11,1
0.0,0,13,4,0.0,0.9916610387227056,1.0066046826870723,1.5707963268056169,1.5707963267477263,1.0,1.1492380923501747e-22,2.2250399308166447e-21,1.0,2.3537010775657213e-21,0.0,2.3537010775657213e-21,9.496374795796607e-11,0
0.0,0,13,5,0.0,0.9916610387227056,1.0066046826870723,1.5707963267465281,1.5707963267878788,1.0,2.339510013486115e-21,4.9249249756867547e-23,1.0,2.3695754554999e-21,0.0,2.3695754554999e-21,9.59302774343246e-11,0
0.0,0,13,6,0.0,0.9916610387227056,1.0066046826870723,1.5707963267694787,1.5707963267462084,1.0,6.460722456110418e-22,2.370543335783905e-21,1.0,3.0268846964852682e-21,0.0,3.0268846964852682e-21,9.8019592251508e-11,0
