p,dataset_index,best_initialization,g12,g13,g23,D,deployed_gap,empirical_loss,gradient_norm,v1_1,v1_2,v1_3,v2_1,v2_2,v2_3,v3_1,v3_2,v3_3
0.5,1,0,1.6244279473920655e-22,7.703719777548943e-34,7.842261181566234e-21,-7.679818386827028e-21,0.5,4.095421208910509e-21,9.141661343397241e-11,0.48777444909175205,0.8671819922117021,-0.1003567595978546,0.8702641732280255,-0.4920826706669496,-0.022246663233475687,-0.06867572794819402,-0.07648553856000948,-0.9947027730844884
0.5,2,5,3.077128468935138e-22,0.0,9.257191520810512e-21,-8.949478673916998e-21,0.5,4.6890118280488135e-21,9.357558820750502e-11,0.2916719129492361,0.944617977418091,-0.1504140017920159,0.18312125102023152,0.09919831384465413,0.9780727488050993,-0.9388259170828013,0.31282034983615853,0.14404626389469724
0.5,3,1,5.2907070693166796e-21,3.0814879110195774e-33,3.317349061775935e-21,1.9733580075407447e-21,0.5,4.349435356170133e-21,9.343912770741942e-11,0.5715914471299187,0.8112647202409782,0.12301532937098919,-0.31858764332710754,0.08126305265883824,0.9444036371127796,0.7561647512866917,-0.579004205494144,0.3049081811490642
0.5,4,6,7.492197933065283e-21,0.0,2.2865762733500756e-21,5.205621659715208e-21,0.5,4.819285010635465e-21,9.471034923865987e-11,0.5162983264987023,-0.4497728905041627,0.7287937877219934,0.5746828053415859,0.8128955363167992,0.09455432449628304,-0.6349611888004634,0.370007018904078,0.6781733514956332
0.5,5,0,1.0468824359225607e-21,0.0,8.775730691830528e-21,-7.728848255907967e-21,0.5,4.976882743429999e-21,9.008353218718296e-11,-0.04250124721926134,-0.6447073330065898,0.7632470758229851,-0.9455188379731988,0.272762628537257,0.17774891142074042,-0.3227813053403178,-0.7141099377657912,-0.621175680228177
0.5,6,2,7.91720153946361e-21,3.0814879110195774e-33,2.13096527436266e-21,5.786236265100949e-21,0.5,5.088665957106886e-21,9.999184764571865e-11,-0.31279261990085844,-0.5056090485754354,-0.8040648400062026,-0.7602249854458838,0.6407576062653652,-0.10718050903445626,0.5694020973281666,0.5777449090976459,-0.5848008819846615
0.5,7,7,7.671656415199708e-21,4.333342374871281e-34,1.2853088156148754e-21,6.386347599584832e-21,0.5,4.494525538126056e-21,9.126931269281095e-11,0.5657150141069841,-0.10734788569702855,0.8175836068869731,0.45836665099489027,0.865135717908096,-0.20356866864862067,0.6854681145368965,-0.48991491202238296,-0.5386249557264617
0.5,8,5,2.2209041174995544e-23,1.925929944387236e-34,1.0704287247280215e-20,-1.0682078206105219e-20,0.5,4.95021753188475e-21,9.240157412642386e-11,-0.10581379707555574,0.24451473900087803,0.9638547518997795,0.249934826602879,-0.9316396216013176,0.2637805866881463,-0.9624635176719517,-0.26881249566233406,-0.03746757700092786
0.5,9,3,5.6366566291651266e-21,3.0814879110195774e-33,3.0475518683306197e-21,2.589104760834507e-21,0.5,4.311775111280791e-21,9.00055874171303e-11,0.24739890456442365,-0.931570682658026,-0.2664016614670088,-0.7224766497305107,0.005842127885770089,-0.6913706387574926,0.6456169705321888,0.36351331853561314,-0.6715927297165037
0.5,10,2,1.0056619680954583e-20,5.058575369554599e-33,3.972751443294608e-22,9.659344536625122e-21,0.5,5.0156470212790305e-21,9.376350842561315e-11,-0.34665077737158756,-0.21228875540655667,0.9136556916451676,0.01000125783963301,-0.974833681013338,-0.22270893382083037,0.9379409434437918,-0.06806451886836659,0.34005000791499457
0.5,11,7,6.230282395927655e-22,4.81482486096809e-35,8.25456379311147e-21,-7.631535553518704e-21,0.5,4.3705048059180686e-21,9.031341488993163e-11,0.09903190643263346,0.24388473541283878,-0.964734635711255,0.15514183956566388,0.9538607983004853,0.2570614461208504,-0.9829159125255954,0.17512799124329487,-0.05662592680976248
0.5,12,7,9.496559480683101e-22,0.0,7.461449832348015e-21,-6.5117938842797045e-21,0.5,4.261906889453507e-21,9.258549512660849e-11,0.25812275770916454,-0.9278329268911888,0.26925582951747956,-0.9650304845463797,-0.2608022645693888,0.02642617436667666,0.045703455460856475,-0.26666128060689254,-0.9627060587656182
0.5,13,1,1.757660673344335e-21,7.703719777548943e-34,7.13195873658228e-21,-5.3742980632379445e-21,0.5,4.5104030646200624e-21,9.240825510008855e-11,0.7815469366767741,-0.5879961597438605,0.20843440670297952,-0.6088631741427906,-0.7917279719405531,0.049522253782162774,0.1359044551072289,-0.1656120001396624,-0.9767817793610546
0.5,14,1,1.740321481941519e-22,0.0,9.920215504114139e-21,-9.746183355919987e-21,0.5,4.893531893686413e-21,9.290111034391265e-11,0.5910502680026497,0.1430875738226086,-0.7938422556853191,0.7868420076852365,0.11440080644446031,0.606458663411385,-0.17759289308969672,0.9830759897792467,0.044970686492269846
0.5,15,2,6.115600623393557e-21,3.0814879110195774e-33,3.1170458639990104e-21,2.9985547593945467e-21,0.5,4.684554032194354e-21,9.198513250973991e-11,0.37878253488309255,-0.7481223072262659,0.5448273164021675,0.9246603582190736,0.33077478066421356,-0.18865647726679285,0.039077017088410666,-0.5752400002147278,-0.8170507504974414
0.5,16,5,1.4224671180492094e-21,0.0,8.045978455017601e-21,-6.623511336968392e-21,0.5,4.729033622839961e-21,9.11521271156469e-11,0.7641038803414448,-0.5190796213957216,-0.38301645747777135,-0.24719952389540129,0.3128079893566048,-0.9170842693998001,-0.5958503632799578,-0.7954291348091532,-0.11070156311409768
