N,p,dataset_index,empirical_g12,empirical_g13,empirical_g23,population_max_gram_error
256,0.5,34,0.27199513259326163,0.0769543706164535,0.4557177047561479,0.10300486740673837
256,0.5,35,0.3767733106294612,0.1233199972846385,0.2741719794817437,0.10082802051825629
256,0.5,36,0.3627161638088071,0.039176359893634716,0.43996931497259495,0.06496931497259495
256,0.5,37,0.20136030187884085,0.05342924755210132,0.5863599456996027,0.2113599456996027
256,0.5,38,0.3936113015118271,0.06637263185748193,0.3490341472459382,0.025965852754061824
256,0.5,39,0.5021452166167926,0.07591469328490663,0.23332135550137395,0.14167864449862605
256,0.5,40,0.3355961493705363,0.07145218945633042,0.39765331905130435,0.03940385062946372
256,0.5,41,0.016292742935178905,0.009074277993689817,0.9509189747321224,0.5759189747321224
256,0.5,42,0.0,0.0,1.0,0.625
256,0.5,43,0.0,0.0,1.0,0.625
256,0.5,44,0.22730869566124112,0.04100279246622868,0.584119372900945,0.20911937290094496
256,0.5,45,0.8107610411018095,0.03468464394005166,0.06745044370799552,0.43576104110180947
256,0.5,46,0.34919272384593014,0.02771993355527047,0.48592267270409806,0.11092267270409806
256,0.5,47,0.2862015558116665,0.04080528074538331,0.517509943706989,0.142509943706989
256,0.5,48,0.05783280334170671,0.00995714434659728,0.8870090013176523,0.5120090013176523
256,0.5,49,0.333556547342404,0.13421112571830796,0.3003287511529064,0.07467124884709359
256,0.5,50,0.2985517151246781,0.09344777886742972,0.39740812934873715,0.0764482848753219
256,0.5,51,0.48460865863251246,0.10323423231801765,0.20809314030734782,0.16690685969265218
256,0.5,52,0.5202011483671319,0.055858440807288245,0.2525950144011137,0.14520114836713194
256,0.5,53,0.21095789902236073,0.05790296545371043,0.5649898034837435,0.1899898034837435
256,0.5,54,0.6511772218027039,0.031089574590016544,0.19278639304893036,0.2761772218027039
256,0.5,55,0.4763712192767998,0.058753037531112606,0.2859530953954564,0.10137121927679982
256,0.5,56,0.6443614236363001,0.060538259241495695,0.14479222843825645,0.2693614236363001
256,0.5,57,0.6100525368320198,0.06540157268308971,0.1631726814277144,0.23505253683201977
256,0.5,58,0.8819925826381645,0.023939512166487487,0.037665919273394965,0.5069925826381645
256,0.5,59,0.35116088280347013,0.10409384450389703,0.3263145187743208,0.04868548122567917
256,0.5,60,0.23142340692709296,0.02869008016434782,0.6123593509125533,0.23735935091255334
256,0.5,61,0.1617452113683706,0.12473370065897127,0.5105411983644684,0.2132547886316294
256,0.5,62,0.49038429778817516,0.0774451869255921,0.24087923582686627,0.13412076417313373
256,0.5,63,0.07385309877159246,0.050995814517774796,0.7676152033100488,0.39261520331004884
256,0.5,64,0.421602048755702,0.09024638349145242,0.28125740482909467,0.09374259517090533
256,0.5,65,0.2182262680454104,0.04142121427469797,0.5938235079029137,0.21882350790291372
256,0.5,66,0.2849943216710742,0.06705100374585726,0.4603675261346182,0.09000567832892581
256,0.5,67,0.0,0.0,1.0,0.625
256,0.5,68,0.5273770455417995,0.033120854422994894,0.2957527821989471,0.15237704554179954
256,0.5,69,0.10271209641934259,0.03927193954301955,0.7481469039498296,0.37314690394982963
256,0.5,70,0.3155573399880087,0.02386382690144273,0.5337786753759174,0.1587786753759174
256,0.5,71,0.05479393761529211,0.021062493909795477,0.8610947968079431,0.4860947968079431
256,0.5,72,0.48210774333523587,0.07291670806988354,0.2554497558478065,0.11955024415219351
256,0.5,73,0.7429998512008464,0.038737955250367884,0.10717913493042291,0.36799985120084644
256,0.5,74,0.3456330471839817,0.044430085783445095,0.44466700828855743,0.06966700828855743
256,0.5,75,0.03252402471034932,0.010061658824293829,0.9226616474154721,0.5476616474154721
256,0.5,76,0.5774973558643061,0.04827612297766615,0.21822642733658154,0.20249735586430606
256,0.5,77,0.6154828248012096,0.03302533072353658,0.2182739638374797,0.24048282480120964
256,0.5,78,0.29768068520770297,0.061906967766262366,0.45689282857370617,0.08189282857370617
256,0.5,79,0.19846510937888467,0.0809243402459841,0.5351871642408325,0.17653489062111533
256,0.5,80,0.23750168393147475,0.07234077932846461,0.5040399496273584,0.13749831606852525
256,0.5,81,0.7847316230739073,0.016759561722207883,0.11929060556332166,0.4097316230739073
256,0.5,82,0.21942359966639252,0.03737051381186485,0.6026152906865698,0.22761529068656983
256,0.5,83,0.182811130748341,0.07969611165961188,0.5572796156967315,0.192188869251659
256,0.5,84,0.47841275368908154,0.05801427738182652,0.2855300442071428,0.10341275368908154
256,0.5,85,0.3726682481100052,0.05288425750536563,0.39744049009615867,0.022440490096158672
256,0.5,86,0.0,0.0,1.0,0.625
256,0.5,87,0.18628458928277536,0.05147453502658805,0.6093604736335293,0.2343604736335293
256,0.5,88,0.448947599061748,0.09056051369934537,0.2563224997411518,0.11867750025884821
256,0.5,89,0.2512588946417851,0.04700283154436341,0.5417615436592674,0.16676154365926743
256,0.5,90,0.36488569002620125,0.11661024199898351,0.294588363665404,0.08041163633459603
256,0.5,91,0.3421612147830366,0.11593561900614302,0.3174630747797547,0.05753692522024528
256,0.5,92,0.7912600325341146,0.037256729235317365,0.07650327639547383,0.4162600325341146
256,0.5,93,0.3212282659803351,0.07631615833151506,0.40353278810129734,0.053771734019664896
256,0.5,94,0.32456370817170854,0.05337197961761586,0.44622581094681735,0.07122581094681735
256,0.5,95,0.5421562907563409,0.05719472910237966,0.23127845366847383,0.16715629075634086
256,0.5,96,0.42874314251888634,0.07835840340138062,0.2940979856958165,0.08090201430418348
256,0.5,97,0.35924732799545117,0.09782130301867087,0.3281563012330681,0.046843698766931896
256,0.5,98,0.30256485124674365,0.10434964704941979,0.3753602251668277,0.07243514875325635
256,0.5,99,0.30528702991677975,0.06547987642849079,0.4413707013324426,0.06971297008322025
256,0.6180339887498949,0,0.5071863455178404,0.04967179977326358,0.27628402000922053,0.7237159799907795
256,0.6180339887498949,1,0.0,0.0,1.0,0.0
256,0.6180339887498949,2,0.0,0.0,1.0,0.0
256,0.6180339887498949,3,0.10274059912366407,0.0605596800442576,0.7043042904731524,0.29569570952684765
256,0.6180339887498949,4,0.0,0.0,1.0,0.0
256,0.6180339887498949,5,0.0,0.0,1.0,0.0
256,0.6180339887498949,6,0.014450994366922432,0.0039738044221032665,0.966673971202525,0.03332602879747504
256,0.6180339887498949,7,0.11630017739329418,0.031067682075475445,0.7486152324398738,0.2513847675601262
256,0.6180339887498949,8,0.0,0.0,1.0,0.0
