p,p_index,dataset_index,A,B,C,empirical_optimum,empirical_g12,empirical_g13,empirical_g23,theory_optimum,theory_g12,theory_g13,theory_g23,theory_D,best_initialization,alpha,beta,g12,g13,g23,D,deployed_gap,optimization_error,gram_error_to_empirical,gram_error_to_population,gradient_norm
0.05,1,8,0.05716641390954991,1.0574643879209344,0.9381114648495533,0.05716641390954991,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.570796326802093,1.5707963268498415,1.0,5.178823647948029e-23,3.018939426826607e-21,1.0,-0.5,0.0,3.018939426826607e-21,3.018939426826607e-21,9.762961889180097e-11
0.05,1,9,0.046406832291318166,1.0320900391866128,0.9547174624730734,0.046406832291318166,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267705736,1.5707963268491105,1.0,5.916107272712851e-22,2.939147540557549e-21,1.0,-0.5,0.0,2.939147540557549e-21,2.939147540557549e-21,9.6228621848363e-11
0.05,1,10,0.05855452463577814,0.9630578954400789,0.9356255062404394,0.05855452463577814,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267472895,1.570796326850708,1.0,2.2664350813076425e-21,3.1149005719743787e-21,1.0,-0.5,0.0,3.1149005719743787e-21,3.1149005719743787e-21,9.23257122350128e-11
0.05,1,11,0.03568107213219779,1.0286815177046715,0.9066236715108822,0.03568107213219779,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268096266,1.5707963267396525,1.0,2.1697094884433417e-22,3.0519097897229298e-21,1.0,-0.5,0.0,3.0519097897229298e-21,3.0519097897229298e-21,9.517770791520381e-11
0.05,1,12,0.04190587402705408,1.0037015531089768,0.959052037448343,0.04190587402705408,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268408172,1.5707963267385952,1.0,2.108695940898922e-21,3.16985543548901e-21,1.0,-0.5,0.0,3.16985543548901e-21,3.16985543548901e-21,9.942467228587115e-11
0.05,1,13,0.039161089016392446,1.0226644484585123,0.9202123631714276,0.039161089016392446,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267761695,1.5707963268520493,1.0,3.5070356903960742e-22,3.266427203831895e-21,1.0,-0.5,0.0,3.266427203831895e-21,3.266427203831895e-21,9.92421121987177e-11
0.05,1,14,0.0401756767777488,0.9796219049770118,0.9332055830837864,0.0401756767777488,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268263514,1.5707963267417246,1.0,9.894030276588035e-22,2.8272586649337323e-21,1.0,-0.5,0.0,2.8272586649337323e-21,2.8272586649337323e-21,9.244088938212045e-11
0.05,1,15,0.0567522099033497,0.9848629460564057,0.9411657529539635,0.0567522099033497,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267467544,1.5707963268504601,1.0,2.317673169360294e-21,3.0873017016513167e-21,1.0,-0.5,0.0,3.0873017016513167e-21,3.0873017016513167e-21,9.281785603735345e-11
0.05,1,16,0.05004946374465777,0.9794521048398401,0.9191411579982722,0.05004946374465777,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268319491,1.5707963267375737,1.0,1.3728893859305922e-21,3.285911928925711e-21,1.0,-0.5,0.0,3.285911928925711e-21,3.285911928925711e-21,9.592875034306675e-11
0.05,1,17,0.05512681332097323,1.0178565753980586,0.9240298535632522,0.05512681332097323,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268211456,1.5707963267376965,1.0,6.890069424107291e-22,3.271849578565437e-21,1.0,-0.5,0.0,3.271849578565437e-21,3.271849578565437e-21,9.650861228566309e-11
0.05,1,18,0.04361596249441893,0.9664916607652092,0.9367901133229878,0.04361596249441893,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268225034,1.570796326738028,1.0,7.621323417772562e-22,3.2340343827664618e-21,1.0,-0.5,0.0,3.2340343827664618e-21,3.2340343827664618e-21,9.91788859967693e-11
0.05,1,19,0.04752202655570745,1.0228751069255355,0.9777758601633857,0.04752202655570745,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268338023,1.5707963267422504,1.0,1.5136539799165477e-21,2.7716193131959424e-21,1.0,-0.5,0.0,2.7716193131959424e-21,2.7716193131959424e-21,9.425084864530637e-11
0.05,1,20,0.05262774218458485,0.993001160672889,0.930633566181772,0.05262774218458485,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267632759,1.5707963268495264,1.0,9.998729237489736e-22,2.9844144975869284e-21,1.0,-0.5,0.0,2.9844144975869284e-21,2.9844144975869284e-21,9.260229710396236e-11
0.05,1,21,0.05445576583171097,0.9997717873438667,1.0068808028942,0.05445576583171097,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267454539,1.5707963268462168,1.0,2.4445838871508874e-21,2.6337649937362236e-21,1.0,-0.5,0.0,2.6337649937362236e-21,2.6337649937362236e-21,9.237244128487064e-11
0.05,1,22,0.04021443891447432,1.0328652528921025,0.9481455265446985,0.04021443891447432,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268219967,1.570796326741707,1.0,7.344120980591228e-22,2.8291244074816103e-21,1.0,-0.5,0.0,2.8291244074816103e-21,2.8291244074816103e-21,9.440520102584062e-11
0.05,1,23,0.047478117762551134,1.0208644942973173,0.9453121920913954,0.047478117762551134,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.570796326826673,1.5707963267423362,1.0,1.0097331202582345e-21,2.7626021350368747e-21,1.0,-0.5,0.0,2.7626021350368747e-21,2.7626021350368747e-21,9.136378932366201e-11
0.05,1,24,0.042303542504755924,1.0157585403252984,0.9243802666480977,0.042303542504755924,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963268202625,1.5707963267383684,1.0,6.434273783637016e-22,3.1954347671489254e-21,1.0,-0.5,0.0,3.1954347671489254e-21,3.1954347671489254e-21,9.757824559757376e-11
0.05,1,25,0.051148951831392134,0.9753909732692104,0.9602328969632484,0.051148951831392134,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267496101,1.5707963268514775,1.0,2.050867308321115e-21,3.2013983472719754e-21,1.0,-0.5,0.0,3.2013983472719754e-21,3.2013983472719754e-21,9.824086295891488e-11
0.05,1,26,0.04509509094353757,0.9837015791227683,0.953641391503171,0.04509509094353757,1.0,0.0,0.0,0.05,1.0,0.0,0.0,1.0,0,1.5707963267472145,1.5707963268502205,1.0,2.273586640774801e-21,3.060734619020263e-21,1.0,-0.5,0.0,3.060734619020263e-21,3.060734619020263e-21,9.622819994277714e-11
